Theme	Theme definition	Sub-theme	What it means	Consequence (leads to next theme)
Design Expectations for an Accessible Medication Reminder	The technology older adults describe is concrete. It speaks the medicine time in plain Bangla, simply and not loudly in company, because they will not read a screen. It shows a picture of the tablet, marks morning and night with sun and moon, and says which medicine is new. It rings again if they do not respond, reminds them to carry the medicine before going out, and works in the field or at a relative's house. It reads the handwritten paper and tells the buyer before the strip finishes, if it is correct. The older adult presses one big button and nothing more; the child sets it up.	Spoken Bangla Reminders with Privacy in Company	Voice is preferred almost unanimously: they do not look at the phone, cannot read small print, and glasses are not always at hand. The voice must be simple, respectful, in Bangla, and private when others are around.	A phone that does all this still has to find its place among the people who already remind, check, buy, and decide. The last theme is where the older adults put it.
Design Expectations for an Accessible Medication Reminder	The technology older adults describe is concrete. It speaks the medicine time in plain Bangla, simply and not loudly in company, because they will not read a screen. It shows a picture of the tablet, marks morning and night with sun and moon, and says which medicine is new. It rings again if they do not respond, reminds them to carry the medicine before going out, and works in the field or at a relative's house. It reads the handwritten paper and tells the buyer before the strip finishes, if it is correct. The older adult presses one big button and nothing more; the child sets it up.	Visual Recognition Cues and Marked Medication Changes	Because they know medicine by sight, a photo of the strip or tablet lets them match it; simple pictures mark the time of day. When the doctor changes something the phone should say plainly which is new and which has stopped, so the old strip is not taken by mistake.	A phone that does all this still has to find its place among the people who already remind, check, buy, and decide. The last theme is where the older adults put it.
Design Expectations for an Accessible Medication Reminder	The technology older adults describe is concrete. It speaks the medicine time in plain Bangla, simply and not loudly in company, because they will not read a screen. It shows a picture of the tablet, marks morning and night with sun and moon, and says which medicine is new. It rings again if they do not respond, reminds them to carry the medicine before going out, and works in the field or at a relative's house. It reads the handwritten paper and tells the buyer before the strip finishes, if it is correct. The older adult presses one big button and nothing more; the child sets it up.	Repeated, Pre-Departure, and Location-Independent Reminders	One sound, then another after some time because they may be outside or busy, but not every minute. A nudge before leaving home to carry the medicine. And the reminder must work in the field, at a relative's house, and on the road, which is exactly where the routine fails.	A phone that does all this still has to find its place among the people who already remind, check, buy, and decide. The last theme is where the older adults put it.
Design Expectations for an Accessible Medication Reminder	The technology older adults describe is concrete. It speaks the medicine time in plain Bangla, simply and not loudly in company, because they will not read a screen. It shows a picture of the tablet, marks morning and night with sun and moon, and says which medicine is new. It rings again if they do not respond, reminds them to carry the medicine before going out, and works in the field or at a relative's house. It reads the handwritten paper and tells the buyer before the strip finishes, if it is correct. The older adult presses one big button and nothing more; the child sets it up.	Prescription Reading and Stock Alerts Conditional on Accuracy	A phone that reads the handwriting and says which medicine, how much, and when would settle doubts, and a message to the buyer when the strip is finishing would prevent the days without medicine. Both are wanted only if correct: medicine is not something to guess.	A phone that does all this still has to find its place among the people who already remind, check, buy, and decide. The last theme is where the older adults put it.
Design Expectations for an Accessible Medication Reminder	The technology older adults describe is concrete. It speaks the medicine time in plain Bangla, simply and not loudly in company, because they will not read a screen. It shows a picture of the tablet, marks morning and night with sun and moon, and says which medicine is new. It rings again if they do not respond, reminds them to carry the medicine before going out, and works in the field or at a relative's house. It reads the handwritten paper and tells the buyer before the strip finishes, if it is correct. The older adult presses one big button and nothing more; the child sets it up.	Single-Button Interaction with Kin-Managed Setup	The older adult's whole interaction is to hear and to press one large button. Setup, names, times, and changes belong to the son or daughter who knows phones. Typing, passwords, small buttons, and many screens are refused outright.	A phone that does all this still has to find its place among the people who already remind, check, buy, and decide. The last theme is where the older adults put it.
Negotiating the Agent's Place in the Care Network	Older adults place the phone inside the arrangement they already have, not above it. It reminds where nobody is, in the field or at a relative's house, while at home the wife knows what the phone cannot, so they want both. It may tell one child when a dose is really missed, after time is given, but never watch every dose, and a forgotten press must not be counted as a missed dose. It is trusted because the son put it in and because people they know use it. It gives small information and defers to the doctor; it never decides, and family is family.	The Agent Where Family Is Absent, Family Where It Is Present	The phone's place is where family is absent. At home the spouse knows whether they have eaten and is preferred, but she is sometimes busy, so the phone and the family together are better than either alone.	This closes the older adults' account and fixes the prototype's terms: voice to the older adult, a picture and a button, configuration and stock alerts to the child, escalation only on a real miss with time allowed, the record below the act, information without decision, and the family kept in. Phase 2 tests whether the deployed agent kept to them.
Negotiating the Agent's Place in the Care Network	Older adults place the phone inside the arrangement they already have, not above it. It reminds where nobody is, in the field or at a relative's house, while at home the wife knows what the phone cannot, so they want both. It may tell one child when a dose is really missed, after time is given, but never watch every dose, and a forgotten press must not be counted as a missed dose. It is trusted because the son put it in and because people they know use it. It gives small information and defers to the doctor; it never decides, and family is family.	Exception-Only Escalation to One Family Member	Family being told is welcome because family already asks, but only for a real miss, after a repeat and some time, and not a message for every dose. This restates the household's own rule against being watched.	This closes the older adults' account and fixes the prototype's terms: voice to the older adult, a picture and a button, configuration and stock alerts to the child, escalation only on a real miss with time allowed, the record below the act, information without decision, and the family kept in. Phase 2 tests whether the deployed agent kept to them.
Negotiating the Agent's Place in the Care Network	Older adults place the phone inside the arrangement they already have, not above it. It reminds where nobody is, in the field or at a relative's house, while at home the wife knows what the phone cannot, so they want both. It may tell one child when a dose is really missed, after time is given, but never watch every dose, and a forgotten press must not be counted as a missed dose. It is trusted because the son put it in and because people they know use it. It gives small information and defers to the doctor; it never decides, and family is family.	The Record Subordinate to the Act	Older adults foresee taking the tablet and forgetting the phone. A missed press must not be read as a missed dose and must not alarm the child; if in doubt the child should ask.	This closes the older adults' account and fixes the prototype's terms: voice to the older adult, a picture and a button, configuration and stock alerts to the child, escalation only on a real miss with time allowed, the record below the act, information without decision, and the family kept in. Phase 2 tests whether the deployed agent kept to them.
Negotiating the Agent's Place in the Care Network	Older adults place the phone inside the arrangement they already have, not above it. It reminds where nobody is, in the field or at a relative's house, while at home the wife knows what the phone cannot, so they want both. It may tell one child when a dose is really missed, after time is given, but never watch every dose, and a forgotten press must not be counted as a missed dose. It is trusted because the son put it in and because people they know use it. It gives small information and defers to the doctor; it never decides, and family is family.	Trust Borrowed from Kin and Peers	Trust is borrowed from people. If the son entered the medicines it was checked; an unknown app is not trusted. If the walking group or fellow farmers use it and say it works, they will ask a child to install it.	This closes the older adults' account and fixes the prototype's terms: voice to the older adult, a picture and a button, configuration and stock alerts to the child, escalation only on a real miss with time allowed, the record below the act, information without decision, and the family kept in. Phase 2 tests whether the deployed agent kept to them.
Negotiating the Agent's Place in the Care Network	Older adults place the phone inside the arrangement they already have, not above it. It reminds where nobody is, in the field or at a relative's house, while at home the wife knows what the phone cannot, so they want both. It may tell one child when a dose is really missed, after time is given, but never watch every dose, and a forgotten press must not be counted as a missed dose. It is trusted because the son put it in and because people they know use it. It gives small information and defers to the doctor; it never decides, and family is family.	Information Without Decision, Family Without Replacement	They want to know what a medicine is for, in a line, not an explanation every time. The phone may help with small things and tell them when to ask the doctor; it must not suggest or change medicine, and it never replaces the family.	This closes the older adults' account and fixes the prototype's terms: voice to the older adult, a picture and a button, configuration and stock alerts to the child, escalation only on a real miss with time allowed, the record below the act, information without decision, and the family kept in. Phase 2 tests whether the deployed agent kept to them.
