Theme	Theme definition	Sub-theme	What it means	Consequence (leads to next theme)
Breakdown at a Distance: Where Presence-Based Care Fails	The family system fails exactly when nobody is in the room. Dose time is lost to housework, guests, travel, and field work; when the caregiver is at work, on a trip, or asleep there is no way to know, and a phone yes may be false. When everyone is busy at once a missed dose can end in hospital. Medicine runs out because nobody counts and the older adult cannot go to buy. The older adult resents depending on family for small things; the caregiver carries a standing worry and calls again.	Supply Failure and Dependence on Others to Buy	Nobody counts tablets; a strip finishes and the market is far. The older adult waits for a child or a neighbour going to market, and doses are missed not from forgetting but from supply. For self-managers this is the only failure they report.	The households reached for tools to cover these gaps. Every tool at hand failed in a specific way, which is the next theme.
Breakdown at a Distance: Where Presence-Based Care Fails	The family system fails exactly when nobody is in the room. Dose time is lost to housework, guests, travel, and field work; when the caregiver is at work, on a trip, or asleep there is no way to know, and a phone yes may be false. When everyone is busy at once a missed dose can end in hospital. Medicine runs out because nobody counts and the older adult cannot go to buy. The older adult resents depending on family for small things; the caregiver carries a standing worry and calls again.	Standing Worry and Unwanted Dependence	The cost of the arrangement is paid twice. The caregiver carries a standing pressure to check while working and keeps thinking, did she take it or not. The older adult, for their part, does not want to depend on family for every small thing. Both sides want the checking to continue and the worry to stop.	The households reached for tools to cover these gaps. Every tool at hand failed in a specific way, which is the next theme.
The Misfit of Existing Aids	Every tool these families have met fails in a specific way. The pill box created a chore for the caregiver and was abandoned. Phone alarms ring without saying which medicine, were set by children and switched off by parents, or were never set at all. No medicine app was tried, because parents manage calls and Facebook but not menus, and some keep button phones. Prescriptions are handwriting only the pharmacist reads; a new brand changes the packet; a harmful medicine was found only when the parent fell ill. One household finds alarms and paper enough.	Aids That Add Work	The pill box had to be filled every time and was forgotten, so the medicine went back to the strips. An aid that adds a task for the caregiver competes with the work it was meant to remove and loses; and it does nothing for a parent who is out.	Each misfit names what a helper would have to do instead: speak and name the medicine, show the tablet, ring again and reach outside, read the paper, warn on change and stock, and be set up by someone else without adding work. Those expectations are the last theme.
The Misfit of Existing Aids	Every tool these families have met fails in a specific way. The pill box created a chore for the caregiver and was abandoned. Phone alarms ring without saying which medicine, were set by children and switched off by parents, or were never set at all. No medicine app was tried, because parents manage calls and Facebook but not menus, and some keep button phones. Prescriptions are handwriting only the pharmacist reads; a new brand changes the packet; a harmful medicine was found only when the parent fell ill. One household finds alarms and paper enough.	Meaningless Alarms and Unusable Apps	An alarm set by a child rings without naming the medicine; the parent does not know why it rings and switches it off, or hears it, defers, and forgets. Smartphones serve calls and videos; an app with many steps leaves them pressing the wrong thing, and button-phone users know only the green and red keys. Nobody set up anything for medicine because nobody knew how or thought of it.	Each misfit names what a helper would have to do instead: speak and name the medicine, show the tablet, ring again and reach outside, read the paper, warn on change and stock, and be set up by someone else without adding work. Those expectations are the last theme.
The Misfit of Existing Aids	Every tool these families have met fails in a specific way. The pill box created a chore for the caregiver and was abandoned. Phone alarms ring without saying which medicine, were set by children and switched off by parents, or were never set at all. No medicine app was tried, because parents manage calls and Facebook but not menus, and some keep button phones. Prescriptions are handwriting only the pharmacist reads; a new brand changes the packet; a harmful medicine was found only when the parent fell ill. One household finds alarms and paper enough.	Unreadable Prescriptions and Unrecognised Packets	Handwritten prescriptions defeat parents and often the caregiver, so the pharmacy reads them; small print needs glasses that are not always at hand. A different brand changes the packet and the older adult no longer knows if it is theirs; a changed prescription leaves old and new strips side by side. The document that defines the regimen is one the household cannot consult.	Each misfit names what a helper would have to do instead: speak and name the medicine, show the tablet, ring again and reach outside, read the paper, warn on change and stock, and be set up by someone else without adding work. Those expectations are the last theme.
The Misfit of Existing Aids	Every tool these families have met fails in a specific way. The pill box created a chore for the caregiver and was abandoned. Phone alarms ring without saying which medicine, were set by children and switched off by parents, or were never set at all. No medicine app was tried, because parents manage calls and Facebook but not menus, and some keep button phones. Prescriptions are handwriting only the pharmacist reads; a new brand changes the packet; a harmful medicine was found only when the parent fell ill. One household finds alarms and paper enough.	Harm Noticed Too Late	Two caregivers describe a medicine that was harming a parent and was found only by symptoms, then changed by a second doctor. Nothing in the household's tools warned them; the check nobody performed is the one they later ask technology to make.	Each misfit names what a helper would have to do instead: speak and name the medicine, show the tablet, ring again and reach outside, read the paper, warn on change and stock, and be set up by someone else without adding work. Those expectations are the last theme.
The Misfit of Existing Aids	Every tool these families have met fails in a specific way. The pill box created a chore for the caregiver and was abandoned. Phone alarms ring without saying which medicine, were set by children and switched off by parents, or were never set at all. No medicine app was tried, because parents manage calls and Facebook but not menus, and some keep button phones. Prescriptions are handwriting only the pharmacist reads; a new brand changes the packet; a harmful medicine was found only when the parent fell ill. One household finds alarms and paper enough.	Counter-Case: Existing Aids Sufficient	One caregiver finds phone alarms plus the paper prescription enough and asks for nothing more; she marks where the problem ends.	Each misfit names what a helper would have to do instead: speak and name the medicine, show the tablet, ring again and reach outside, read the paper, warn on change and stock, and be set up by someone else without adding work. Those expectations are the last theme.
Design Expectations for a Family-Placed Agent	Older adults and caregivers describe the same tool from two sides. It speaks the medicine's name and timing in plain Bangla, privately in company, and shows a picture of the tablet with sun and moon and a clear mark on anything new. It rings again after a delay, reminds before leaving, and works outside and offline. It tells one family member only after a real miss and a wait, never treats a missed press as a missed dose, and never checks in secret. The caregiver sets it up once; the older adult presses one button. It reads the prescription and warns on stock and mismatch only if correct, gives information and never decides, and helps the family without replacing or controlling it. Trust is borrowed from the child who set it and the peers who use it.	Spoken Bangla Reminders Naming the Medicine	Voice is preferred almost unanimously. Older adults do not look at the phone and cannot read small print; caregivers know their parents will not notice text. The voice must say which medicine, when, and before or after food, in plain and respectful Bangla, and not loudly when others are around.	These expectations fix the prototype's terms and the questions Phase 2 must answer: whether an agent that speaks to the older adult and reports to one caregiver on exception is admitted into the family's division of work, whom it comes to serve, and whether the record stays below the act.
Design Expectations for a Family-Placed Agent	Older adults and caregivers describe the same tool from two sides. It speaks the medicine's name and timing in plain Bangla, privately in company, and shows a picture of the tablet with sun and moon and a clear mark on anything new. It rings again after a delay, reminds before leaving, and works outside and offline. It tells one family member only after a real miss and a wait, never treats a missed press as a missed dose, and never checks in secret. The caregiver sets it up once; the older adult presses one button. It reads the prescription and warns on stock and mismatch only if correct, gives information and never decides, and helps the family without replacing or controlling it. Trust is borrowed from the child who set it and the peers who use it.	Visual Recognition Cues and Marked Medication Changes	Because older adults know medicine by sight, a picture of the tablet lets them match it and simple pictures mark the time of day. Both sides insist a changed medicine be shown plainly as new and the old one as stopped, so the old strip is not taken by mistake.	These expectations fix the prototype's terms and the questions Phase 2 must answer: whether an agent that speaks to the older adult and reports to one caregiver on exception is admitted into the family's division of work, whom it comes to serve, and whether the record stays below the act.
Design Expectations for a Family-Placed Agent	Older adults and caregivers describe the same tool from two sides. It speaks the medicine's name and timing in plain Bangla, privately in company, and shows a picture of the tablet with sun and moon and a clear mark on anything new. It rings again after a delay, reminds before leaving, and works outside and offline. It tells one family member only after a real miss and a wait, never treats a missed press as a missed dose, and never checks in secret. The caregiver sets it up once; the older adult presses one button. It reads the prescription and warns on stock and mismatch only if correct, gives information and never decides, and helps the family without replacing or controlling it. Trust is borrowed from the child who set it and the peers who use it.	Repeated, Pre-Departure, and Location-Independent Reminders	One sound, then another after some time because the older adult may be outside or busy, but not every minute. A nudge before leaving home to carry the medicine. And the reminder must work in the field, at a relative's house, and without internet, which is exactly where the routine fails and where the caregiver cannot reach.	These expectations fix the prototype's terms and the questions Phase 2 must answer: whether an agent that speaks to the older adult and reports to one caregiver on exception is admitted into the family's division of work, whom it comes to serve, and whether the record stays below the act.
Design Expectations for a Family-Placed Agent	Older adults and caregivers describe the same tool from two sides. It speaks the medicine's name and timing in plain Bangla, privately in company, and shows a picture of the tablet with sun and moon and a clear mark on anything new. It rings again after a delay, reminds before leaving, and works outside and offline. It tells one family member only after a real miss and a wait, never treats a missed press as a missed dose, and never checks in secret. The caregiver sets it up once; the older adult presses one button. It reads the prescription and warns on stock and mismatch only if correct, gives information and never decides, and helps the family without replacing or controlling it. Trust is borrowed from the child who set it and the peers who use it.	Exception-Only Escalation to One Family Member	Both sides describe the same sequence: the older adult first, a repeat after time, then one family member, and only when a dose is really missed. Ten notifications a day would be ignored; a message from the system should mean something. For a caregiver at work or housework, a call cuts through where a notification does not.	These expectations fix the prototype's terms and the questions Phase 2 must answer: whether an agent that speaks to the older adult and reports to one caregiver on exception is admitted into the family's division of work, whom it comes to serve, and whether the record stays below the act.
Design Expectations for a Family-Placed Agent	Older adults and caregivers describe the same tool from two sides. It speaks the medicine's name and timing in plain Bangla, privately in company, and shows a picture of the tablet with sun and moon and a clear mark on anything new. It rings again after a delay, reminds before leaving, and works outside and offline. It tells one family member only after a real miss and a wait, never treats a missed press as a missed dose, and never checks in secret. The caregiver sets it up once; the older adult presses one button. It reads the prescription and warns on stock and mismatch only if correct, gives information and never decides, and helps the family without replacing or controlling it. Trust is borrowed from the child who set it and the peers who use it.	The Record Subordinate to the Act	Older adults foresee taking the tablet and forgetting the phone, and ask that a missed press not be read as a missed dose. Caregivers agree from their side: give some time, maybe she is taking it and the system does not know. The dose is the fact; the confirmation is secondary; a person asks when in doubt.	These expectations fix the prototype's terms and the questions Phase 2 must answer: whether an agent that speaks to the older adult and reports to one caregiver on exception is admitted into the family's division of work, whom it comes to serve, and whether the record stays below the act.
Design Expectations for a Family-Placed Agent	Older adults and caregivers describe the same tool from two sides. It speaks the medicine's name and timing in plain Bangla, privately in company, and shows a picture of the tablet with sun and moon and a clear mark on anything new. It rings again after a delay, reminds before leaving, and works outside and offline. It tells one family member only after a real miss and a wait, never treats a missed press as a missed dose, and never checks in secret. The caregiver sets it up once; the older adult presses one button. It reads the prescription and warns on stock and mismatch only if correct, gives information and never decides, and helps the family without replacing or controlling it. Trust is borrowed from the child who set it and the peers who use it.	Single-Button Interaction with Kin-Managed Setup	The older adult's whole interaction is to hear and to press one large button; typing, passwords, and screens are refused. The caregiver sets up medicines and times once, changes them when the doctor does, and refuses daily entry. Simplicity is the condition of use for both generations.	These expectations fix the prototype's terms and the questions Phase 2 must answer: whether an agent that speaks to the older adult and reports to one caregiver on exception is admitted into the family's division of work, whom it comes to serve, and whether the record stays below the act.
Design Expectations for a Family-Placed Agent	Older adults and caregivers describe the same tool from two sides. It speaks the medicine's name and timing in plain Bangla, privately in company, and shows a picture of the tablet with sun and moon and a clear mark on anything new. It rings again after a delay, reminds before leaving, and works outside and offline. It tells one family member only after a real miss and a wait, never treats a missed press as a missed dose, and never checks in secret. The caregiver sets it up once; the older adult presses one button. It reads the prescription and warns on stock and mismatch only if correct, gives information and never decides, and helps the family without replacing or controlling it. Trust is borrowed from the child who set it and the peers who use it.	Prescription Reading, Mismatch Warnings, and Stock Alerts Conditional on Accuracy	Both sides want the phone to do the reading and cross-checking the household cannot: read the handwritten prescription from a photo, warn when something entered is not on it, and tell the buyer before the strip finishes. Every request carries the same condition: it must be correct, medicine is not a guess, and the family will still check.	These expectations fix the prototype's terms and the questions Phase 2 must answer: whether an agent that speaks to the older adult and reports to one caregiver on exception is admitted into the family's division of work, whom it comes to serve, and whether the record stays below the act.
Design Expectations for a Family-Placed Agent	Older adults and caregivers describe the same tool from two sides. It speaks the medicine's name and timing in plain Bangla, privately in company, and shows a picture of the tablet with sun and moon and a clear mark on anything new. It rings again after a delay, reminds before leaving, and works outside and offline. It tells one family member only after a real miss and a wait, never treats a missed press as a missed dose, and never checks in secret. The caregiver sets it up once; the older adult presses one button. It reads the prescription and warns on stock and mismatch only if correct, gives information and never decides, and helps the family without replacing or controlling it. Trust is borrowed from the child who set it and the peers who use it.	Information Without Decision, Family Without Replacement	The tool may show what the doctor prescribed and what it is for, and tell them when to ask the doctor; it must not suggest or change medicine. Checking must be visible to the older adult, never secret. It should help the family, not replace or control it: less calling is not less care, and technology can help but family is family.	These expectations fix the prototype's terms and the questions Phase 2 must answer: whether an agent that speaks to the older adult and reports to one caregiver on exception is admitted into the family's division of work, whom it comes to serve, and whether the record stays below the act.
Design Expectations for a Family-Placed Agent	Older adults and caregivers describe the same tool from two sides. It speaks the medicine's name and timing in plain Bangla, privately in company, and shows a picture of the tablet with sun and moon and a clear mark on anything new. It rings again after a delay, reminds before leaving, and works outside and offline. It tells one family member only after a real miss and a wait, never treats a missed press as a missed dose, and never checks in secret. The caregiver sets it up once; the older adult presses one button. It reads the prescription and warns on stock and mismatch only if correct, gives information and never decides, and helps the family without replacing or controlling it. Trust is borrowed from the child who set it and the peers who use it.	Trust Borrowed from Kin and Peers	Trust in the tool is not earned by the tool. If the son entered the medicines the older adult knows it was checked; an unknown app is not trusted. If their walking group or fellow farmers use it and say it works, they will ask a child to install it.	These expectations fix the prototype's terms and the questions Phase 2 must answer: whether an agent that speaks to the older adult and reports to one caregiver on exception is admitted into the family's division of work, whom it comes to serve, and whether the record stays below the act.
