Code	Definition	Sub-theme	Theme	Example quote
The phone reminds first now; family asks less but still asks	The first reminder moved to the agent; routine asking fell away. Lived.	The First Reminder Moved, the Asking Remained Care	Less Pressure, Not Less Responsibility	\"Earlier we mostly depended on memory and family members reminding each other. Now the agent can remind them directly. So there is less need for me to keep asking every time.\" (C02, Phase 2, L56)
Family asking is care, even when it annoys	Kin asking is care; the agent cannot replace that feeling. Elicited.	The First Reminder Moved, the Asking Remained Care	Less Pressure, Not Less Responsibility	\"I still check. I just don't have to do it for every medicine time. So it reduces some work, but it doesn't mean we stop caring.\" (C02, Phase 2, L60)
The notification gives family a reason to talk	The alert becomes a question, not a report. Lived, elicited.	The First Reminder Moved, the Asking Remained Care	Less Pressure, Not Less Responsibility	\"Now if the assistant shows something different, we talk about it instead of just ignoring it. We check what the latest instruction is.\" (C03, Phase 2, L105)
Less pressure, not less responsibility	The agent helps without taking the family out. Lived, elicited.	The First Reminder Moved, the Asking Remained Care	Less Pressure, Not Less Responsibility	\"Now there is a proper reminder and someone can know if a dose was missed. I think it reduces the pressure on the family without removing the family from it.\" (C03, Phase 2, L205)
Family noticed the streak and praised it	The streak became a small family topic. Lived.	The Streak as Ours, Sometimes Mine	Less Pressure, Not Less Responsibility	\"At first I thought it was a little funny. But then it became something we noticed. If my father had a good streak, we would say okay, you are doing well.\" (C03, Phase 2, L117)
A broken streak means check why; medicine is not a game	The count is a record to check, not a loss. Hypothetical.	The Streak as Ours, Sometimes Mine	Less Pressure, Not Less Responsibility	\"I would not want that to make my mother anxious. Sometimes people forget. We should understand why it happened and make sure it doesn't happen again. The score should not become more stressful than the medicine itself.\" (C01, Phase 2, L84)
Encouragement yes, pressure no	Sharing the score is fine for encouragement, not for monitoring or competition. Elicited.	The Streak as Ours, Sometimes Mine	Less Pressure, Not Less Responsibility	\"If it says everything is on track, that is good. Family also gives encouragement sometimes. But medicine is not a competition.\" (C02, Phase 2, L80)
Family may see the score; nobody outside	Privacy starts beyond the family. Elicited.	The Streak as Ours, Sometimes Mine	Less Pressure, Not Less Responsibility	\"Basic progress can be shared with family. Since I am helping them, it is useful for me to know. But every small detail does not need to be shown to everyone.\" (C01, Phase 2, L88)
A second memory, not a replacement	The reminder reinforces timing; people still know; some still forget. Elicited.	Habituation Seen From Outside	Less Pressure, Not Less Responsibility	\"The medicine time feels more fixed now. My mother also seems to expect the reminder.\" (C04, Phase 2, L169)
No answer means busy, not forgotten	Silence is work, deferral, not hearing, or a forgotten press. Lived.	No Confirmation as a Signal to Check	Signals, Not Verdicts: Reading Silence and the Record	\"Not immediately. First remind me again. I might have given the medicine but forgotten to confirm it. If there is still no response, then the family can be informed.\" (C06, Phase 2, L39)
Do not assume a miss; a person should check first	The record is below the act; a family member's question settles it. Lived, hypothetical.	No Confirmation as a Signal to Check	Signals, Not Verdicts: Reading Silence and the Record	\"But if there was a difference, I would check what actually happened before trusting the record.\" (C05, Phase 2, L93)
A false alarm worries family for nothing	Telling family of a miss that did not happen is the feared failure. Hypothetical.	A False Alarm as the Failure	Signals, Not Verdicts: Reading Silence and the Record	\"Also, if it keeps telling the family something was missed when it was actually given, that would become a problem because everyone would start worrying unnecessarily.\" (C06, Phase 2, L55)
Wrong information was checked, not accepted	A caregiver found mismatches and verified them. Lived.	Mismatches Checked and Warnings That Explain	Signals, Not Verdicts: Reading Silence and the Record	\"Not for a normal reminder. But there were times when something did not match what we knew from the prescription. Then I would check it instead of just accepting it.\" (C03, Phase 2, L49)
A warning must say why	Caregivers want the reason, not just a loud alert. Hypothetical.	Mismatches Checked and Warnings That Explain	Signals, Not Verdicts: Reading Silence and the Record	\"But it should explain what the problem is. Just giving a big warning without telling me why would not be very helpful.\" (C01, Phase 2, L36)
The doctor decides; the agent only reminds	The prescription or notes are the authority; the agent never guesses. Hypothetical.	The Doctor Decides, a Person Confirms	Keeping the Agent Below the Doctor and Current With the Prescription	\"We have had a situation before where my father had a problem with a medicine and the doctor changed it. So for those things, I would not depend only on an app.\" (C01, Phase 2, L64)
I must be able to stop a wrong reminder	Stop it, check the paper, never take an extra tablet. Hypothetical.	The Doctor Decides, a Person Confirms	Keeping the Agent Below the Doctor and Current With the Prescription	\"I would check the prescription first. If it does not match what the doctor said, then I would not follow the system blindly.\" (C01, Phase 2, L32)
After a change, the agent is wrong until someone updates it	Old schedules kept reminding until updated. Lived, hypothetical.	Stale Until Updated; Tell Everyone What Changed	Keeping the Agent Below the Doctor and Current With the Prescription	\"I would believe the doctor after checking the prescription. I would also update the assistant. The assistant can be wrong if the prescription changed.\" (C03, Phase 2, L101)
Everyone must be told what changed and why	Otherwise the wife reminds of the old medicine and the son buys the old one. Elicited, hypothetical.	Stale Until Updated; Tell Everyone What Changed	Keeping the Agent Below the Doctor and Current With the Prescription	\"Especially if it is something important. If the doctor changes a medicine, then we should know what changed and why.\" (C02, Phase 2, L68)
I tested it against my routine or my papers	Reminders were compared with routine, alarm, notes, or prescription before trusting. Lived.	Trust After My Own Check, and Through Her Response	Keeping the Agent Below the Doctor and Current With the Prescription	\"If it keeps giving the correct medicine and correct timing, then slowly I would trust it. But I would still keep the prescription because that is our main reference.\" (C01, Phase 2, L100)
My child set it and checked it, so I trust it	Trust came through the kin who configured it. Lived.	Trust After My Own Check, and Through Her Response	Keeping the Agent Below the Doctor and Current With the Prescription	\"Once the reminders were coming at the correct time and my mother was actually responding to them, I started trusting the normal routine more.\" (C04, Phase 2, L153)
A voice with the name, simple and quiet	Sound suits non-readers and busy people; the score is not for them. Elicited.	A Voice With the Name, and Not Another Job	Keeping the Agent Below the Doctor and Current With the Prescription	\"My parents can use smartphones, but they are not comfortable with every new app. So if the reminder is clear, maybe voice also, and it tells them which medicine and when, then that is enough.\" (C01, Phase 2, L132)
The phone does not know if I have eaten	Family knows the situation; the phone knows only what is entered. Lived, elicited.	A Voice With the Name, and Not Another Job	Keeping the Agent Below the Doctor and Current With the Prescription	\"Together with the family. The system can remind us, but we still know the actual situation at home. If something changes, we need to check the prescription and understand what happened.\" (C06, Phase 2, L23)
Wrong information, noise, or extra work ends use	Caregivers stop if it becomes another job. Hypothetical.	A Voice With the Name, and Not Another Job	Keeping the Agent Below the Doctor and Current With the Prescription	\"If it gives wrong medicine information, sends too many unnecessary alerts, or makes changes without us knowing. Also if I have to keep entering everything manually every day. That would become another job.\" (C03, Phase 2, L189)
