Code	Definition	Sub-theme	Theme	Example quote
They say yes, then I find out they forgot	A yes over the phone can be false, so the caregiver asks again.	No record and no way to know from a distance, and a phone yes that may be false	A medication system that lives in one caregiver's memory and breaks when they are away	\"Sometimes yes. Because then I have to call and ask. And sometimes they say yes I took it but then later I find out they forgot. So I have to ask again sometimes.\" (C01, Phase 1, L269)
Missed while I work or sleep	Doses are missed when the caregiver is out, busy, or asleep and not supervising.	No record and no way to know from a distance, and a phone yes that may be false	A medication system that lives in one caregiver's memory and breaks when they are away	\"Yes, it often happens [...] especially when I’m not at home or when I'm busy with work. Sometimes even when I’m asleep, a dose gets missed.\" (C08, Phase 1, L29)
At the wedding nobody reminded her	A diabetic mother missed her dose at a wedding and fell ill; everyone was busy.	A shared check that fails when everyone is busy at once, sometimes ending in hospital	A medication system that lives in one caregiver's memory and breaks when they are away	\"We were all busy. There were many people and wedding things going on. She also was talking to people and moving around. The medicine was not in front of her. So she forgot. Later at night she was not feeling good and then we understood that she had missed the medicine.\" (C02, Phase 1, L85)
His sugar dropped and we went to hospital	A father missed his morning dose while the household worked; after the hospital the caregiver no longer trusts memory alone.	A shared check that fails when everyone is busy at once, sometimes ending in hospital	A medication system that lives in one caregiver's memory and breaks when they are away	\"Sometimes they just miss it. A few days ago my father forgot his morning dose. Then by noon he was not feeling good and his sugar level dropped a lot. It became a serious thing and we had to take him to hospital.\" (C03, Phase 1, L33)
If nobody checks I worry; it is pressure	The caregiver carries a standing pressure to check while working and keeps thinking, did she take it or not.	The caregiver's standing worry and repeated calling as the hidden cost	A medication system that lives in one caregiver's memory and breaks when they are away	\"Yes a little. I work in software and sometimes I am busy. Then I think I should check. If nobody checks then I worry. So it is pressure. It is not very big every day but it is there.\" (C03, Phase 1, L49)
We had to remember to fill the box; it does not remind you away from home	The pill box added a task, was not maintained, and cannot reach a person who is out.	A pill box that became one more chore and was abandoned	Tools that add work or carry no meaning, and prescriptions nobody can read	\"I think because it was not convenient for us. We had to put the medicine inside every time and sometimes we forgot to put it there. Then again the medicine was in the original strip. So it was not really helping that much.\" (C01, Phase 1, L61)
It just rings; it does not say what to take	A phone alarm does not name the medicine, so it is ignored or unclear.	Alarms that ring without naming the medicine, or were never set	Tools that add work or carry no meaning, and prescriptions nobody can read	\"Yes. It just rings. It does not say what to take. If it says mother take your night medicine then that is clearer.\" (C04, Phase 1, L93)
Alarms never set for medicine, and too many get ignored	Alarm features exist but were never used for medicine; repeated sounds are tuned out.	Alarms that ring without naming the medicine, or were never set	Tools that add work or carry no meaning, and prescriptions nobody can read	\"No not properly. I mean the phone has alarms but we don't use it for medicine. We have not set it up like that.\" (C01, Phase 1, L113)
Counter-case: alarms and the paper are enough for us	One caregiver finds basic alarms plus the prescription sufficient and wants nothing more.	Alarms that ring without naming the medicine, or were never set	Tools that add work or carry no meaning, and prescriptions nobody can read	\"No, I think that pretty much covers it! The basic phone alarms and keeping the doctor’s prescription handy work well for our current needs.\" (C06, Phase 1, L51)
We never thought about an app; they know the basic things, not everything	No medicine app was tried; parents use calls, messages, and Facebook, but many buttons defeat them.	Apps never tried because the parent manages calls, not menus	Tools that add work or carry no meaning, and prescriptions nobody can read	\"Maybe because we never thought about it. And also if the app is difficult then my parents may not use it. They use smartphone but they are not very comfortable with every app.\" (C01, Phase 1, L121)
They use button phones	Some older adults are not interested in smartphones at all.	Apps never tried because the parent manages calls, not menus	Tools that add work or carry no meaning, and prescriptions nobody can read	\"They use button phones. They are not very interested in smartphones, and they find smartphone functions harder to use, so they mostly use button phones.\" (C08, Phase 1, L41)
Handwriting we cannot read; the pharmacist tells us	Handwritten prescriptions defeat parents and often the caregiver; the pharmacist identifies the medicine.	Handwriting only the pharmacist can read, brand names that differ, and harm noticed too late	Tools that add work or carry no meaning, and prescriptions nobody can read	\"They can read English automated prescriptions. But handwritten ones they cannot always read. Doctor handwriting is sometimes difficult. So then pharmacist helps us identify the medicine.\" (C01, Phase 1, L137)
Brand names differ; generic names would be consistent	Systems that know only brand names confuse; generic names would help.	Handwriting only the pharmacist can read, brand names that differ, and harm noticed too late	Tools that add work or carry no meaning, and prescriptions nobody can read	\"I personally face difficulties when the system only recognizes brand names of medicines. If a system could be developed using generic names, then it would be easier, because brand names often differ. With generic names, there would be more consistency and convenience.\" (C08, Phase 1, L66)
We only found out about the wrong medicine when they got ill	A harmful medicine was discovered by symptoms and changed by a second doctor; nothing warned the family.	Handwriting only the pharmacist can read, brand names that differ, and harm noticed too late	Tools that add work or carry no meaning, and prescriptions nobody can read	\"Yes once my father had fever. Doctor prescribed some medicine and one of the medicines caused him problems. So then we had to see another doctor and the medicine was changed.\" (C01, Phase 1, L157)
Say the medicine name and before or after food, by voice	A reminder must name the medicine and its timing and speak it, because parents will not look at text.	A spoken name and timing with one button, nothing to read or type	An agent that speaks the medicine's name to the parent and tells the caregiver only when a dose is really missed	\"It should say which medicine to take and when. Like it should say the medicine name and maybe before food or after food. Not only saying take medicine. Because if it only says take medicine then they still have to remember which medicine.\" (C01, Phase 1, L209)
Big text, simple buttons, a picture of the tablet	Large text, few buttons, and a picture to match the strip help parents.	A spoken name and timing with one button, nothing to read or type	An agent that speaks the medicine's name to the parent and tells the caregiver only when a dose is really missed	\"Yes maybe. If it shows the medicine picture then they can match it with the medicine they have. That could be useful especially when the names are difficult.\" (C01, Phase 1, L249)
They hear it and press one button	The parent's interaction is hearing and a single confirmation; the caregiver manages settings.	A spoken name and timing with one button, nothing to read or type	An agent that speaks the medicine's name to the parent and tells the caregiver only when a dose is really missed	\"I would probably set it up. After that she can just hear it and press one button. I would manage the settings.\" (C04, Phase 1, L125)
Keep it simple and normal, or people stop using it	Simplicity is the condition of use; it should feel like the phone reminding, not a big medical thing.	A spoken name and timing with one button, nothing to read or type	An agent that speaks the medicine's name to the parent and tells the caregiver only when a dose is really missed	\"Keep it simple. Very simple. Don't put too many things. Big text, voice notification, medicine name, timing, before food or after food. And family member should be able to know if medicine was missed. That's enough. If it has too many features people may not use it.\" (C01, Phase 1, L405)
Works outside and offline; reminds before travel and before the strip runs out	Reminders matter most away from home, must not need internet, and should cover packing and stock.	Reminders that follow the parent outside, offline, on trips, and before the strip runs out	An agent that speaks the medicine's name to the parent and tells the caregiver only when a dose is really missed	\"Yes definitely. It should work outside also. Because that is when they forget more. At home we can remind them. Outside there is no one.\" (C01, Phase 1, L301)
One more reminder after some time, then tell me	A repeat after a wait, then the caregiver, without shouting and without immediate alarm, since she may be taking it.	Escalation that waits, repeats, then reaches one caregiver through a channel that interrupts	An agent that speaks the medicine's name to the parent and tells the caregiver only when a dose is really missed	\"Maybe if it happens too much. So it should not keep shouting again and again. Maybe after some time one more reminder. If still not taken then maybe it can tell me also.\" (C01, Phase 1, L221)
Not ten notifications a day	Frequent alerts would be ignored; tell the caregiver only when there is a real problem.	Escalation that waits, repeats, then reaches one caregiver through a channel that interrupts	An agent that speaks the medicine's name to the parent and tells the caregiver only when a dose is really missed	\"Like if I get ten notifications every day saying your mother has not taken medicine, then I will start ignoring it. It should only tell me when there is actually a problem.\" (C02, Phase 1, L261)
A call reaches me while I work	A ring or call cuts through household or office work better than a notification.	Escalation that waits, repeats, then reaches one caregiver through a channel that interrupts	An agent that speaks the medicine's name to the parent and tells the caregiver only when a dose is really missed	\"A call! An incoming call is definitely the most effective for me because it grabs my attention right away while I'm working.\" (C05, Phase 1, L70)
They should know; it should not secretly check	Any checking must be visible to the older adult.	Checking done in the open that lightens the caregiver without replacing the family	An agent that speaks the medicine's name to the parent and tells the caregiver only when a dose is really missed	\"Yes yes. I don't think it should secretly check. They should know. It is for helping them.\" (C01, Phase 1, L325)
Less calling does not mean I do not care	Relief for the caregiver is help for the parent, not withdrawal of care.	Checking done in the open that lightens the caregiver without replacing the family	An agent that speaks the medicine's name to the parent and tells the caregiver only when a dose is really missed	\"Yes less work for me but also better for them. Because if I don't have to call it doesn't mean I don't care. It means the system is helping them when I am not there.\" (C01, Phase 1, L373)
Help the family, not replace or control us	The tool should make the family's checking easier, not take it over; they are adults.	Checking done in the open that lightens the caregiver without replacing the family	An agent that speaks the medicine's name to the parent and tells the caregiver only when a dose is really missed	\"Yes exactly. It should help the family. Not replace us. It should make checking easier.\" (C03, Phase 1, L201)
Read the prescription from a photo, but it must be correct and I will check	Prescription reading would save pharmacy trips; a wrong reading is a new problem, so caregivers will verify.	Reading the prescription from a photo, trusted only after the caregiver checks it	AI that reads the prescription, remembers it, and warns, while the doctor still decides	\"Maybe yes. If it can correctly tell us the medicine name then it can help. But it has to be correct. Medicine is not something where you can guess.\" (C01, Phase 1, L149)
Show what it is for; mark old medicine as old	Name and purpose help parents; a changed medicine must be clearly shown as old.	Holding the current prescription and warning when something changed or does not match	AI that reads the prescription, remembers it, and warns, while the doctor still decides	\"Maybe it can keep the old information but it should clearly show that it is old. Otherwise they may take the old medicine by mistake.\" (C01, Phase 1, L293)
Warn me if it is not on the prescription	Comparing what is entered with the prescription and flagging a mismatch is wanted.	Holding the current prescription and warning when something changed or does not match	AI that reads the prescription, remembers it, and warns, while the doctor still decides	\"Yes. If it can compare the prescription with what we entered then a warning is useful. Like this is not on the current prescription. Then I can check.\" (C04, Phase 1, L193)
No recommendations; doctor is still doctor	The app shows the prescription and basic facts and never suggests medicines; decisions stay with the doctor.	Information the family can check against advice, set up by the caregiver, decided by the doctor	AI that reads the prescription, remembers it, and warns, while the doctor still decides	\"I don't want it to randomly recommend medicines. I want it to show what the doctor prescribed and basic information. Recommendation can create another problem.\" (C04, Phase 1, L189)
I do the setup once; no daily typing	The caregiver configures and changes it; entering medicines every day would end use.	Information the family can check against advice, set up by the caregiver, decided by the doctor	AI that reads the prescription, remembers it, and warns, while the doctor still decides	\"I think I should be able to manage the setup for them. They don't need too many things. They should just see what medicine to take and take it. If the medicine or timing changes, I should be able to change it easily.\" (C01, Phase 1, L233)
