Code_ID	Code	Definition	Subtheme	Theme	Analytic_priority	Evidence_status	Example_quote	Example_source	Reflexivity_note	Interview_gap
O13	Everyone becomes busy	Shared reminding can fail when all available people are occupied simultaneously.	Routine transitions separate medicines, cues, people, and dose times	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Core	Lived practice / reconstructed episode	"""No family was there. But everybody was busy. Nobody remembered either."" (P13, Phase 1, L53)"	P13	This supports collective lapse, but no household pairing is available.	
O14	Medicine left behind	Leaving home can separate a person from medicine even when timing is remembered.	Routine transitions separate medicines, cues, people, and dose times	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Core	Lived practice / reconstructed episode	"""When I go somewhere, sometimes I forget to carry the medicine."" (P02, Phase 1, L173)"	P02	I kept carrying separate from remembering because they require different designs.	
O15	Routine change displaces timing	Travel, guests, and altered meals remove the cues that ordinarily carry dosing.	Routine transitions separate medicines, cues, people, and dose times	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Core	Lived practice / reconstructed episode	"""At home, everything is fixed. I know where the medicine is, I know the time. When travelling, everything changes."" (P01, Phase 1, L95)"	P01	The mechanism is cue displacement, not a global memory deficit.	
O16	Work outruns the clock	Farming, housework, and paid work reorganize attention around tasks rather than dose times.	Routine transitions separate medicines, cues, people, and dose times	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Core	Lived practice / reconstructed episode	"""Farming work doesn't have fixed time always."" (P06, Phase 1, L71)"	P06	Different work settings share temporal instability, not identical burdens.	
O17	Medicine identity shifts disrupt recognition	Changes in strip appearance, brand, company, or packaging can unsettle recognition built through familiar medicine identity.	Supply and medicine-identity changes create non-reminder failures	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Supporting	Lived practice / reconstructed episode	"""When doctor changes one medicine, the new strip looks different."" (P07, Phase 1, L115)"	P07	Visual cues help only while packaging remains stable.	
O18	Supply access interrupts adherence	A dose can be missed because medicine is depleted or locally unavailable, even when timing is remembered.	Supply and medicine-identity changes create non-reminder failures	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Supporting	Lived practice / reconstructed episode	"""We forget to buy before it finishes. Then there is no medicine"" (P08, Phase 1, L149)"	P08	Supply failure widens the problem beyond reminder design.	
O19	Reminder names medicine and timing	A reminder should specify medicine, timing, dose, or relation to food.	Actionable prompts connect reminders to familiar medicine while respecting context	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""It should tell me clearly which medicine, how much, and when to take it."""	P01, Phase 1, L151	Specific content answers the failure of generic alarms, despite elicitation.	Mostly elicited design expectation; distinguish from actual tool use.
O20	Reminder privacy changes by place	Spoken reminders may need quieter modes when other people are present.	Actionable prompts connect reminders to familiar medicine while respecting context	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""If other people are around, I don't want everyone hearing my medicine reminder."" (P02, Phase 1, L277)"	P02	This single case complicates any universal voice first recommendation.	Single P02 case; useful as a countercase to universal voice-first design.
O21	Visual cues support matching	Pictures and simple time cues connect digital instructions to familiar medicine appearance.	Actionable prompts connect reminders to familiar medicine while respecting context	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""If I see the photo I know. This is the one."" (P04, Phase 1, L171)"	P04	Packaging changes limit this mechanism, so images cannot stand alone.	Pictures can support matching but packaging changes make image-only identification brittle.
O22	Voice avoids screen attention	Spoken reminders can be noticed without opening or reading a screen.	Actionable prompts connect reminders to familiar medicine while respecting context	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""I don't have to look at the phone. I can just hear it."" (P02, Phase 1, L273)"	P02	Preference was often elicited after voice was proposed by the interviewer.	Voice preference was frequently elicited after voice was proposed; report as evaluated preference, not spontaneous demand.
O23	Family remains relationally present	Technology should complement relational care rather than replace family and community roles.	Delegated setup can support use, but accountable people retain authority	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""we don't live in isolation. My family ensures my medicine stock is full [...] Technology should complement that"" (P10, Phase 1, L84)"	P10	This direct account supports relational interdependence, while independent managers bound its reach.	Supports relational interdependence while independent self-managers bound its reach.
O24	Kin configure once	Trusted kin may enter schedules while older adults retain everyday use.	Delegated setup can support use, but accountable people retain authority	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""Son or wife. They should put the medicine. I can only take when it tells me."" (P06, Phase 1, L263)"	P06	Delegation can support participation, but setup authority still needs revocability.	Settings-control questions were inconsistently asked; retain as formative design evidence, not a prevalence claim.
O25	Technology defers to clinicians	Technology may inform or warn but should not recommend medication changes.	Delegated setup can support use, but accountable people retain authority	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""We listen to both. But medicine doctor decides."""	P06, Phase 1, L291	This boundary is strongly corroborated despite hypothetical prompting.	Strongly aligned with multiple accounts, but future-system statements are design judgments.
O26	Trust follows human verification	Trust rises when kin or professionals check system information against the prescription.	Delegated setup can support use, but accountable people retain authority	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""If son puts everything then I will trust it more. I know he checked it."" (P04, Phase 1, L179)"	P04	Trust attaches to accountable people rather than the system alone.	Trust is described through accountable people; this should not be converted into a claim that users distrust automation generally.
O27	App steps trigger withdrawal	Multi step interaction prompts users to stop or delegate.	Device, document, and interaction conditions shape who can participate directly	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Lived practice / reconstructed episode	"""I press wrong thing and something else comes. Then I leave it."" (P06, Phase 1, L167)"	P06	I coded withdrawal as patterned participation, not failed adoption.	
O28	Device access constrains direct interaction	Button phones, shared phones, or limited device ownership can narrow direct interaction and move some digital work to kin.	Device, document, and interaction conditions shape who can participate directly	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Lived practice / reconstructed episode	"""I only know how to press the green button when it rings to talk"" (P09, Phase 1, L62)"	P09	This is an infrastructural condition, not an age based incapacity.	
O29	Small print blocks reading	Small labels and handwritten prescriptions require glasses or another reader.	Device, document, and interaction conditions shape who can participate directly	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Lived practice / reconstructed episode	"""Big letters yes. Small letters no. I need glasses. Without glasses I can see the packet but not the writing."" (P03, Phase 1, L75)"	P03	Reading barriers vary, so voice cannot be treated as universally preferred.	
O30	Confirmation does not prove dosing	Missing a button press should not be treated as missing medication.	Escalation should be delayed, selective, visible, and epistemically modest	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Design judgment grounded in lived practice	"""Taking medicine is the main thing. Pressing button should be secondary."" (P05, Phase 1, L211)"	P05	This exposes a gap between recorded interaction and lived action.	Important epistemic boundary: interface confirmation and medication ingestion are not equivalent.
O31	Escalation waits for exception	Caregivers should receive meaningful exceptions, not every reminder event.	Escalation should be delayed, selective, visible, and epistemically modest	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""But not for every small thing. If I really don't take it, then maybe family can know."" (P01, Phase 1, L211)"	P01	A real miss remains technically uncertain without verified sensing or logs.	Hypothetical preference; a non-confirmation cannot establish a missed dose.
O32	Repeat precedes escalation	Families prefer another reminder and time to respond before involving someone else.	Escalation should be delayed, selective, visible, and epistemically modest	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""Maybe after some minutes... Then another reminder. But not every one minute."""	P12, Phase 1, L161	The sequence was prompted, so it is an evaluated expectation, not observed practice.	Hypothetical sequence; not observed behavior.
O33	Alarm lacks medicine meaning	A generic sound may not identify which medicine or action is due.	Existing aids can create work or signal without completing the handoff	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Lived practice / reconstructed episode	"""Too much sound. I don't know which alarm is for what... sometimes I don't understand why it is ringing."""	P04, Phase 1, L39	The problem is underspecified content, not sound itself.	Generic-alarm limitation is supported, but reminder designs were often discussed after interviewer prompting.
O34	Alarm supports but not action	A reminder may be noticed yet deferred until it is forgotten.	Existing aids can create work or signal without completing the handoff	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Lived practice / reconstructed episode	"""Alarm helps but if I am doing something then I may not take it immediately. Then after some time I remember."" (P12, Phase 1, L29)"	P12	This is one user's lived alarm practice and bounds reminder efficacy claims.	P12 provides direct lived use showing that noticing a reminder is not equivalent to taking a dose.
O35	No aid currently needed	Some self managers see no present need for medication technology.	Low-technology practices and refusal remain legitimate baselines	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Boundary	Lived practice / reconstructed episode	"""Yes, absolutely, I do not need those yet."" (P11, Phase 1, L35)"	P11	Need is contingent on regimen and context, not age alone.	Explicit refusal/self-sufficiency is analytically important and should remain visible in results.
O36	Notes support dense regimens	Notes, prescriptions, labels, and leaflets can organize complex medication schedules.	Low-technology practices and refusal remain legitimate baselines	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Boundary	Lived practice / reconstructed episode	"""I have them noted down. Husband also notes for me, I take them according to that."" (P16, Phase 1, L15)"	P16	This contradicts the former claim that nothing is written down.	
