Code_ID	Code	Definition	Subtheme	Theme	Analytic_priority	Evidence_status	Example_quote	Example_source	Reflexivity_note	Interview_gap
C11	Phone confirmation remains uncertain	A verbal yes may not settle whether dosing occurred.	Handoffs and distance create uncertainty about what actually happened	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Core	Lived practice / reconstructed episode	"""sometimes they say yes I took it but then later I find out they forgot."" (C01, Phase 1, L269)"	C01	I retained this boundary case but removed the former cross corpus generalization.	Strongly described in C01 but not systematically probed across households; treat as a boundary case rather than a universal verification failure.
C12	Everyone becomes busy	Shared reminding can fail when all available people are occupied simultaneously.	Routine transitions separate medicines, cues, people, and dose times	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Core	Lived practice / reconstructed episode	"""If one person forgets somebody else usually remembers. But sometimes everyone is busy. That is when the problem happens."""	C03, Phase 1, L197	This supports collective lapse, but no household pairing is available.	
C13	Medicine left behind	Leaving home can separate a person from medicine even when timing is remembered.	Routine transitions separate medicines, cues, people, and dose times	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Core	Lived practice / reconstructed episode	"""There was one time we were going somewhere and later she asked where her medicine was. We had to check the bags."""	C04, Phase 1, L69	I kept carrying separate from remembering because they require different designs.	
C14	Routine change displaces timing	Travel, guests, and altered meals remove the cues that ordinarily carry dosing.	Routine transitions separate medicines, cues, people, and dose times	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Core	Lived practice / reconstructed episode	"""At home everything is fixed... When you go somewhere the routine changes."""	C02, Phase 1, L93	The mechanism is cue displacement, not a global memory deficit.	
C15	Work outruns the clock	Farming, housework, and paid work reorganize attention around tasks rather than dose times.	Routine transitions separate medicines, cues, people, and dose times	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Core	Lived practice / reconstructed episode	"""It gets hardest when I'm super busy with household work—especially in the morning."""	C05, Phase 1, L47	Different work settings share temporal instability, not identical burdens.	
C16	Medicine identity shifts disrupt recognition	Changes in strip appearance, brand, company, or packaging can unsettle recognition built through familiar medicine identity.	Supply and medicine-identity changes create non-reminder failures	Breakdowns emerge at routine and handoff boundaries, creating uncertainty, burden, and adherence risk	Supporting	Lived practice / reconstructed episode	"""Medicine packaging can change. Or different company can have different packaging."""	C02, Phase 1, L197	Visual cues help only while packaging remains stable.	
C17	Reminder names medicine and timing	A reminder should specify medicine, timing, dose, or relation to food.	Actionable prompts connect reminders to familiar medicine while respecting context	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""It should say which medicine to take and when. [...] Not only saying take medicine."" (C01, Phase 1, L209)"	C01	Specific content answers the failure of generic alarms, despite elicitation.	Mostly elicited design expectation; distinguish from actual tool use.
C18	Visual cues support matching	Pictures and simple time cues connect digital instructions to familiar medicine appearance.	Actionable prompts connect reminders to familiar medicine while respecting context	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""If it shows the medicine picture then they can match it with the medicine they have."""	C01, Phase 1, L249	Packaging changes limit this mechanism, so images cannot stand alone.	Pictures can support matching but packaging changes make image-only identification brittle.
C19	Family remains relationally present	Technology should complement relational care rather than replace family and community roles.	Delegated setup can support use, but accountable people retain authority	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""It should help the family. Not replace us. It should make checking easier."""	C03, Phase 1, L201	This direct account supports relational interdependence, while independent managers bound its reach.	Supports relational interdependence while independent self-managers bound its reach.
C20	Kin configure once	Trusted kin may enter schedules while older adults retain everyday use.	Delegated setup can support use, but accountable people retain authority	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""I would probably set it up. After that she can just hear it and press one button. I would manage the settings."""	C04, Phase 1, L125	Delegation can support participation, but setup authority still needs revocability.	Settings-control questions were inconsistently asked; retain as formative design evidence, not a prevalence claim.
C21	Technology defers to clinicians	Technology may inform or warn but should not recommend medication changes.	Delegated setup can support use, but accountable people retain authority	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""I don't want it to randomly recommend medicines. I want it to show what the doctor prescribed and basic information."" (C04, Phase 1, L189)"	C04	This boundary is strongly corroborated despite hypothetical prompting.	Strongly aligned with multiple accounts, but future-system statements are design judgments.
C22	Trust follows human verification	Trust rises when kin or professionals check system information against the prescription.	Delegated setup can support use, but accountable people retain authority	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""I would check it. I would not just trust it blindly. Maybe compare with the pharmacy or old medicine."""	C04, Phase 1, L141	Trust attaches to accountable people rather than the system alone.	Trust is described through accountable people; this should not be converted into a claim that users distrust automation generally.
C23	Device access constrains direct interaction	Button phones, shared phones, or limited device ownership can narrow direct interaction and move some digital work to kin.	Device, document, and interaction conditions shape who can participate directly	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Lived practice / reconstructed episode	"""They use button phones... they find smartphone functions harder to use."""	C08, Phase 1, L41	This is an infrastructural condition, not an age based incapacity.	
C24	Escalation waits for exception	Caregivers should receive meaningful exceptions, not every reminder event.	Escalation should be delayed, selective, visible, and epistemically modest	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""Maybe only if they don't confirm. Otherwise I don't need every reminder. But if they miss then I should know."""	C03, Phase 1, L97	A real miss remains technically uncertain without verified sensing or logs.	Hypothetical preference; a non-confirmation cannot establish a missed dose.
C25	Monitoring requires visibility	Older adults should know when family can inspect medication information.	Escalation should be delayed, selective, visible, and epistemically modest	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""I don't think it should secretly check. They should know. It is for helping them."" (C01, Phase 1, L325)"	C01	Caregiver endorsement cannot substitute for older adult consent.	Caregiver endorsement does not substitute for older-adult consent; checking visibility was under-probed.
C26	Repeat precedes escalation	Families prefer another reminder and time to respond before involving someone else.	Escalation should be delayed, selective, visible, and epistemically modest	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Elicited design judgment	"""Maybe after some time one more reminder. If still not taken then maybe it can tell me also."" (C01, Phase 1, L221)"	C01	The sequence was prompted, so it is an evaluated expectation, not observed practice.	Hypothetical sequence; not observed behavior.
C27	Alarm lacks medicine meaning	A generic sound may not identify which medicine or action is due.	Existing aids can create work or signal without completing the handoff	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Lived practice / reconstructed episode	"""It just rings. It does not say what to take."" (C04, Phase 1, L93)"	C04	The problem is underspecified content, not sound itself.	Generic-alarm limitation is supported, but reminder designs were often discussed after interviewer prompting.
C28	Pillbox adds refilling work	Refilling a pillbox created another remembered task and led to abandonment.	Existing aids can create work or signal without completing the handoff	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Core	Lived practice / reconstructed episode	"""We had to put the medicine inside every time and sometimes we forgot to put it there."" (C01, Phase 1, L61)"	C01	One household cannot support a claim about pillboxes generally.	Observed in one household; use as a design test for maintenance burden, not a general claim about pillboxes.
C29	Existing aids can suffice	One caregiver reported that alarms and a paper prescription met current needs.	Low-technology practices and refusal remain legitimate baselines	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Boundary	Lived practice / reconstructed episode	"""The basic phone alarms and keeping the doctor's prescription handy work well for our current needs."" (C06, Phase 1, L51)"	C06	This countercase prevents a universal technology misfit claim.	Countercase prevents a deficit narrative; do not frame app adoption as universally necessary.
C30	Notes support dense regimens	Notes, prescriptions, labels, and leaflets can organize complex medication schedules.	Low-technology practices and refusal remain legitimate baselines	Technology is legitimate when it repairs bounded coordination gaps without displacing situated competence or human authority	Boundary	Lived practice / reconstructed episode	"""Whenever there's any doubt about timing or doses, I go right back to checking the doctor's paper prescription."""	C06, Phase 1, L24	This contradicts the former claim that nothing is written down.	
