Code	Definition	Sub-theme	Theme	Example quote	Reflexivity note
Broken streak produces grief	Losing accumulated progress can cause disappointment despite its secondary medical importance.	Broken streaks can create pressure	Routines and prescriptions matter more than scores and streaks	"I was a little upset because I had kept it for many days." (P10, Phase 2, L79)	Streak grief is retained as a negative case.
Family separates score from dose	Relatives redirect attention from lost progress to the next medication event.	Broken streaks can create pressure	Routines and prescriptions matter more than scores and streaks	"my son said, okay, it happened, take the next one properly." (P10, Phase 2, L79)	Family response, not the score, contains metric distress.
Medicine outranks the score	Participants evaluate the medication event before points, numbers, or streak continuity.	Broken streaks can create pressure	Routines and prescriptions matter more than scores and streaks	"Medicine is more important than the score." (P09, Phase 2, L90)	Points and shared scores were not deployed.
Performance pressure revokes value	Monitoring, competition, or inflated attention makes the score unacceptable.	Broken streaks can create pressure	Routines and prescriptions matter more than scores and streaks	"If it becomes another performance measure, then no." (P11, Phase 2, L92)	This countercase limits the coach role.
Mutual reminders make care reciprocal	Older adults remind and check others as well as receive care themselves.	People remind and learn from each other	Friends and community shape care, but doctors decide medicine	"I also ask her about her medicine. So it is both ways." (P06, Phase 2, L79)	Reciprocity resists casting older adults only as care recipients.
Peer talk cues personal remembering	Hearing peers discuss medicines can redirect attention to one's own routine.	People remind and learn from each other	Friends and community shape care, but doctors decide medicine	"If someone says they have to take their tablet, sometimes I remember mine." (P04, Phase 2, L241)	The community account was elicited from a subset.
Community use supports app trust	Use by known peers can make unfamiliar technology appear more trustworthy.	Community advice leads to questions, not decisions	Friends and community shape care, but doctors decide medicine	"If other farmers use it and say it works, I will trust it more." (P06, Phase 2, L199)	Social proof concerns adoption, not system accuracy.
Shared experiences prompt questions	Other people's medicine experiences can prompt consultation without authorizing a treatment change.	Community advice leads to questions, not decisions	Friends and community shape care, but doctors decide medicine	"If many people are saying something, I may ask the doctor about it. But asking is different from taking it." (P15, Phase 2, L191)	This is elicited reasoning, not observed consultation.
Peer talk can add confusion	Conflicting medicine stories can burden older adults rather than support care.	Community advice leads to questions, not decisions	Friends and community shape care, but doctors decide medicine	"I listen, but I don't want the phone adding more confusion." (P07, Phase 2, L195)	Community connection is not assumed beneficial.
Digital visibility remains chosen	Conversational health sharing does not imply permission for automatic digital disclosure.	Community advice leads to questions, not decisions	Friends and community shape care, but doctors decide medicine	"Family can see, other people don't need to." (P04, Phase 2, L137)	This refusal distinguishes sociality from unrestricted data access.
Voice supports screen free attention	Spoken Bangla reaches users who do not monitor notifications or read small text.	Simple prompts support direct use	The agent helps when it supports routines and shows uncertainty	"I don't have to read small writing." (P08, Phase 2, L217)	Spoken service announcements were deployed; voice reminder preferences were elicited.
Images and plain Bangla support matching	Medicine images, large text, and familiar language connect prompts to known medicine.	Simple prompts support direct use	The agent helps when it supports routines and shows uncertainty	"If it shows the packet, I can compare." (P08, Phase 2, L233)	Images were not deployed.
Simplicity preserves role clarity	Few controls and concise prompts keep the agent understandable and bounded.	Simple prompts support direct use	The agent helps when it supports routines and shows uncertainty	"The phone should remind, not decide." (P06, Phase 2, L235)	Complexity and authority are linked in this account.
Proxy configuration preserves participation	A relative configures schedules while the older adult hears, recognizes, confirms, and acts.	Family setup can preserve older adult control	Care tasks are divided while older adults stay involved	"My daughter set it up for me. After that, the reminder part was easy." (P05, Phase 2, L7)	Setup help is not treated as nonuse.
Taking remains with older adults	Configuration or supply help does not necessarily transfer the medication action.	Family setup can preserve older adult control	Care tasks are divided while older adults stay involved	"I don't need someone to put it in my hand. I can take it myself." (P08, Phase 2, L185)	This protects task specific agency.
Mobility increases reminder value	Portable prompts cover travel, fieldwork, gatherings, and altered routines where household cues recede.	Reminders can strengthen an existing routine	The agent helps when it supports routines and shows uncertainty	"At home my wife can tell me. In the field there is nobody asking." (P06, Phase 2, L179)	This is reported value, not an adherence outcome.
Stock alerts route purchasing	Proposed low supply notices reach the person who obtains medicine.	Features send tasks to responsible people	Care tasks are divided while older adults stay involved	"If my son gets a message before that, he can buy." (P06, Phase 2, L187)	Stock sensing was not deployed.
Prescription capture needs verification	Proposed photo capture distributes interpretation only when people verify the extracted instruction.	Features send tasks to responsible people	Care tasks are divided while older adults stay involved	"If there is doubt, we ask the doctor or pharmacy." (P04, Phase 2, L221)	Prescription capture was not implemented.
