Code	Definition	Sub-theme	Theme	Example quote	Reflexivity note
Care continuity becomes visible	The streak makes a caregiver's sustained medication coordination visible to the involved family.	Family visibility acknowledges care work	Caregivers interpret streaks as records of routine care work	"It was showing that the medicines were being given regularly." (C06, Phase 2, L99)	The deployed streak does not prove ingestion.
Family recognition acknowledges care	Family comments recognize continued caregiving coordination rather than motivate medication taking.	Family visibility acknowledges care work	Caregivers interpret streaks as records of routine care work	"We might say good, you are keeping it properly." (C04, Phase 2, L117)	Recognition remains secondary to medication and is not an adherence mechanism.
Broken streak prompts cause checking	Caregivers establish whether medicine or only confirmation was missed before responding.	Medicine remains independent of the score	Caregivers interpret streaks as records of routine care work	"Maybe she missed the medicine, maybe she forgot to confirm." (C04, Phase 2, L125)	This carries record uncertainty into gamification.
Medicine outranks progress metrics	Caregivers prioritize the medication event over preserving a number or sequence.	Medicine remains independent of the score	Caregivers interpret streaks as records of routine care work	"The medicine is the main thing. Score is just extra." (C03, Phase 2, L129)	Points and shared scores were not deployed.
Care visibility stays familial	Caregivers accept limited family visibility of coordination work but reject wider disclosure.	Family visibility acknowledges care work	Caregivers interpret streaks as records of routine care work	"it should stay within the family." (C04, Phase 2, L133)	Shared family scores were not deployed.
Metrics must not create pressure	Anxiety, detailed surveillance, or blame makes the progress trace counterproductive.	Medicine remains independent of the score	Caregivers interpret streaks as records of routine care work	"It should be a small motivation, not another source of pressure." (C04, Phase 2, L129)	This constrains the coach role.
Audible prompts interrupt competing work	Voice or calls attract attention when caregivers or older adults are away from a screen.	Prompts follow existing care roles	Caregivers accept agent coordination that remains selective and accountable	"A direct call would be especially useful for me because it gets my attention when I am working." (C05, Phase 2, L185)	Voice was deployed; calls were not confirmed as deployed.
Semantic reminders direct action	A prompt names the due medicine and time so the recipient knows what to do.	Prompts follow existing care roles	Caregivers accept agent coordination that remains selective and accountable	"If it says the name, then it is much clearer." (C08, Phase 2, L141)	This is an elicited design expectation.
Prescription capture requires verification	Proposed photo interpretation supports configuration only when a person checks the extracted instruction.	Prompts follow existing care roles	Caregivers accept agent coordination that remains selective and accountable	"But I would still check if there is any doubt." (C04, Phase 2, L201)	Prescription capture was not implemented.
Stock alerts route supply work	Proposed low-supply notices recruit the relative who can arrange or purchase medicine.	Prompts follow existing care roles	Caregivers accept agent coordination that remains selective and accountable	"A reminder before it runs out would help." (C06, Phase 2, L187)	Stock sensing was not deployed.
Simplicity prevents another caregiving task	Stable setup and selective alerts let the agent remove more coordination work than it creates.	Verification preserves human authority	Caregivers accept agent coordination that remains selective and accountable	"it should help us, not make another job for us." (C04, Phase 2, L233)	Maintainability conditions continued delegation.
